1AND2	(1-2)	(2-1)
P24534		
P00533		
Q9Y3B3		
Q5JRX3		
Q9UL46		
P35606		
Q8NE71		
P20962		
P07437		
P11940		
P50995		
Q16531		
P23526		
P61088		
O43175		
O14828		
Q9H3U1		
P09493		
P07237		
Q96PK6		
P04075		
P27635		
Q8WX92		
P12429		
P48454		
Q92499		
Q13126		
P14868		
P55060		
Q71DI3		
P24941		
Q92621		
P09211		
O95373		
O43768		
P41250		
O75947		
Q07157		
P43487		
P33993		
P20290		
P12270		
O76094		
P13489		
P17987		
O14744		
P22695		
O00487		
P28074		
O00299		
P56192		
Q7L1Q6		
P36578		
P32322		
Q59GN2		
O75340		
O00154		
Q9Y5S9		
Q07020		
P08621		
Q9HAV4		
P19105		
P11142		
P22087		
P31949		
P40429		
Q14914		
P30837		
Q15029		
Q99598		
P63173		
P49748		
Q16643		
P49589		
Q9UGI8		
Q8NBS9		
Q9BUF5		
P48775		
P38117		
Q9UMX0		
P17844		
P08670		
P67775		
Q00653		
P38919		
P31689		
P62837		
Q9Y3F4		
Q14444		
P06753		
P62195		
P49915		
Q15459		
P21399		
Q07955		
P56134		
Q8TCJ2		
P62308		
Q13561		
P36542		
O43684		
Q9UI30		
Q58FF8		
Q9UNF1		
P47897		
P08579		
Q9UHD8		
Q15393		
O75717		
O00303		
Q14108		
P35221		
P34897		
P50213		
Q12905		
P09104		
P62424		
Q14839		
Q92973		
P49720		
Q96T88		
P28838		
Q13151		
P35637		
O43681		
O00505		
P35232		
P07195		
P43246		
P30740		
P15121		
Q01105		
Q96HE7		
O15371		
Q02978		
Q99460		
O15355		
O75494		
P27708		
P52815		
Q16543		
Q15149		
P05141		
P25705		
P26358		
O60716		
P35244		
P14174		
Q12904		
P60983		
P52272		
P05198		
Q99613		
Q92896		
Q9UNN8		
P12814		
Q16719		
Q14566		
Q13247		
P50914		
Q9NQC3		
P78310		
P04083		
P60953		
Q06210		
Q9BPW8		
Q6AI12		
Q9UKK9		
Q15121		
O14980		
P07814		
P13073		
P14866		
Q14257		
P26639		
O15143		
O76021		
Q15185		
Q6UW68		
Q9Y2X3		
P50991		
Q8NC51		
Q14116		
P22694		
P15531		
P36776		
P54577		
P63313		
P27694		
O15067		
P23588		
P08195		
O43143		
P62258		
Q96HS1		
P42677		
P20618		
P05023		
Q96FW1		
P62851		
P30046		
P62310		
P12236		
O00232		
Q5T6V5		
Q3ZCQ8		
Q9NS69		
Q9UNM6		
Q14258		
Q92688		
O95757		
P35579		
P62847		
O43615		
P10809		
P52788		
Q9NPA0		
P16403		
P06576		
O95777		
P55084		
P43307		
Q14315		
Q09028		
P18031		
Q16658		
Q16629		
Q03135		
Q8WVY7		
Q9H910		
P06733		
Q8WVM8		
P39019		
Q9NQG5		
P53992		
P37802		
P04179		
Q13347		
Q99805		
P43686		
P56545		
P68036		
P22234		
P00491		
Q6GMV3		
Q9BR76		
O43324		
P62249		
Q8IZP2		
Q9P287		
Q99714		
P23246		
P11021		
P40227		
P61160		
P60866		
Q8NBQ5		
P62314		
Q96HC4		
O75475		
P51659		
P11413		
Q12765		
P07900		
P60842		
Q9GZT3		
O75822		
Q9UHV9		
P46777		
P53396		
P68363		
P55209		
P60709		
P17096		
P28066		
P62917		
O60925		
P49368		
P55072		
P20674		
P52292		
Q9Y3E1		
P49773		
P09622		
P35998		
P22626		
Q9NUQ9		
P50395		
P43243		
P0DPA3		
P62263		
P00387		
P25786		
P07910		
P83731		
