1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
O15260	P09525	P52272	O75694						
P21796	O75083	Q9HD45	P11488						
P11142	O15145	P62318	P19623						
Q16629	P13674	P14625	Q9Y383						
O43681	P16152	Q9BUF5	P62195						
P13693	P50914	Q8NC51	P61978						
P21399	Q16401	Q06210	P35579						
O60888	Q92974	P16949	Q92621						
P56134	P30086	Q13126	Q9H9B4						
P35613	P07954	P13010	P39748						
O75131	Q9H6R4	Q9H0D6	P63208						
P55072	Q9UKK9	O43684	P00390						
Q13177	Q9BX68	P09525	P39023						
Q9Y3B3	O15260	Q02218	Q8N163						
Q03135	P21796	O15145	Q15427						
Q8WX92	P11142	P13674	P52272						
O60884	Q16629	O75083	Q9HD45						
Q9NR30	O43681	P50914	P62318						
O43670	P13693	P16152	P14625						
Q9NTK5	P21399	Q16401	Q9BUF5						
P62820	O60888	P30086	Q8NC51						
P51665	P43307	P07954	O95793						
P46783	P56134	Q92974	P16949						
Q5H9R7	P35613	Q9H6R4	Q06210						
Q8N128	O75131	Q9UKK9	Q13126						
P26006	P55072	Q9BX68	P13010						
P38117	Q13177	O15260	Q9H0D6						
P07237	Q9Y3B3	Q16778	Q9BVK6						
Q1KMD3	Q03135	P21796	O43684						
P50579	Q8WX92	P11142	P09525						
O43390	O60884	Q16629	O75083						
P55884	Q9NR30	O43681	O15145						
P26639	O43670	P13693	P13674						
O94973	Q9NTK5	P21399	P16152						
Q9UBQ7	P62820	Q9Y3T9	P50914						
P00492	P51665	O60888	Q16401						
O14744	P46783	P56134	Q92974						
P48739	Q5H9R7	P35613	P30086						
P10768	Q99878	O75131	P07954						
P06744	Q8N128	P55072	Q9H6R4						
A6NHR9	P26006	P50552	Q9UKK9						
P14868	P38117	Q13177	Q9BX68						
Q00341	P07237	Q9Y3B3	O15260						
Q07866	Q1KMD3	Q03135	P21796						
O15212	P50579	Q8WX92	P11142						
Q09666	O43390	O60884	Q16629						
Q9NPA0	P55884	Q9NR30	O43681						
Q86WJ1	P26639	O43847	P13693						
Q13442	O94973	O43670	P21399						
Q8NDC0	Q9UBQ7	Q9NTK5	O60888						
P62826	P00492	P62820	P00367						
P27694	O14744	P51665	P56134						
Q6AI12	P48739	P62633	P35613						
Q9UG63	P10768	P46783	O75131						
O75347	P06744	Q5H9R7	P55072						
P15880	A6NHR9	Q8N128	Q13177						
Q04917	P14868	P26006	Q9Y3B3						
P06493	Q00341	P38117	Q03135						
P43243	Q07866	P07237	Q8WX92						
P61513	O15212	Q1KMD3	O60884						
Q9Y4L1	Q09666	P50579	Q9NR30						
Q8N1F7	Q9NPA0	O43390	O43670						
O76003	Q86WJ1	P55884	Q9NTK5						
Q01082	Q13442	P26639	P62820						
P31949	Q8NDC0	O94973	P51665						
P12081	P62826	Q9UBQ7	P46783						
P29692	P27694	P00492	Q5H9R7						
Q99729	Q6AI12	O14744	Q8N128						
Q9BQE3	Q9UHD1	P48739	P26006						
Q9H3K6	Q9UG63	P10768	P38117						
P55265	O75347	P06744	Q14008						
P24534	P15880	A6NHR9	P07237						
P04350	Q04917	P14868	Q1KMD3						
Q14847	P06493	Q00341	P50579						
P45974	P43243	Q07866	Q9BZE4						
P62851	P61513	O15212	O43390						
P67812	Q9Y4L1	Q09666	P55884						
Q8NE71	Q8N1F7	Q9NPA0	P26639						
O43768	O76003	Q86WJ1	O94973						
P19367	Q01082	Q13442	Q9UBQ7						
P31946	P31949	Q8NDC0	P00492						
P28838	P12081	P10321	O14744						
P49720	P29692	P62826	P48739						
Q9HAV7	Q99729	P27694	P10768						
P42224	Q9BQE3	Q6AI12	P06744						
Q12792	Q9H3K6	Q9UG63	A6NHR9						
P06748	P55265	O75347	P14868						
Q9NRH3	P24534	P15880	Q00341						
O00159	P04350	Q04917	Q07866						
Q15631	Q14847	P06493	O15212						
P08865	P45974	P43243	Q09666						
P23528	P62851	P61513	Q9NPA0						
P58546	P67812	P11279	Q86WJ1						
P40939	Q8NE71	Q8IUI8	Q13442						
P84085	O43768	Q9Y4L1	Q8NDC0						
Q9Y3B4	P19367	Q8N1F7	Q9NPD8						
P41567	P31946	O76003	P62826						
P30101	P28838	Q01082	P27694						
P17931	P49720	P31949	Q6AI12						
P10809	Q9HAV7	P12081	Q9UG63						
Q9H299	P42224	P29692	O75347						
Q7L2H7	Q12792	Q99729	P15880						
P11177	P06748	Q9BQE3	Q04917						
P61247	Q9NRH3	Q9H3K6	P62854						
O00264	O00159	P55265	P06493						
O75874	Q15631	P24534	P43243						
O60610	P08865	P04350	P61513						
Q06323	P23528	Q14847	Q8N1F7						
Q16222	P58546	P45974	Q9Y4L1						
O60313	P40939	P62851	O76003						
O94905	P84085	P67812	Q01082						
Q14914	Q9Y3B4	Q8NE71	P31949						
P50454	P41567	O43768	P12081						
Q9UHV9	P30101	P19367	Q8TCS8						
P07305	P17931	P31946	P29692						
P43686	P10809	P28838	Q99729						
P30626	Q9H299	P49720	Q9BQE3						
P51149	Q7L2H7	Q9HAV7	Q9H3K6						
P07437	P11177	P42224	P55265						
Q9BRJ2	P61247	Q12792	P24534						
Q9UBI6	Q13564	P06748	O43237						
P78417	O00264	Q9NRH3	Q14847						
P54136	O75874	O00159	P04350						
P13804	O60610	Q15631	P45974						
O75531	Q06323	P08865	P62851						
Q9NX55	Q16222	P23528	P67812						
Q13283	O60313	P58546	Q8NE71						
P30050	O94905	P40939	O43768						
P17858	Q14914	P84085	P19367						
Q04760	Q9HC38	Q9Y3B4	P31946						
Q9NS69	Q9UHV9	P41567	Q14694						
Q15149	P50454	P30101	P28838						
Q99439	P07305	P17931	P49720						
Q00688	P43686	P10809	Q9HAV7						
Q9NSD9	P30626	Q9H299	P42224						
O00487	P51149	Q7L2H7	Q12792						
Q9Y320	P07437	P11177	P06748						
P11387	Q9BRJ2	P61247	Q9NRH3						
Q9ULX3	Q9UBI6	O00264	O00159						
Q9BQG0	P78417	O75874	Q15631						
P15121	P54136	O60610	P08865						
P60842	P13804	Q06323	P23528						
P53999	O75531	Q16222	P58546						
P22694	Q9NX55	O60313	P40939						
Q07021	Q13283	O94905	P84085						
P33992	P30050	Q14914	Q9Y3B4						
Q9P1F3	P17858	P50454	P41567						
P62263	Q04760	Q9UHV9	P30101						
Q13435	Q9NS69	P07305	P17931						
P62837	Q15149	P43686	P10809						
O76021	Q99439	P30626	Q9H299						
P68363	Q00688	P51149	Q7L2H7						
Q12931	Q9NSD9	P07437	P11177						
O00151	O00487	Q9BRJ2	P61247						
P62277	Q9Y320	Q9UBI6	O00264						
P30084	P11387	P78417	O75874						
P12236	Q9ULX3	P54136	O60610						
O60264	Q9BQG0	Q9H8S9	Q06323						
P19971	P15121	P13804	Q16222						
P08579	P60842	O75531	O60313						
P62330	P53999	Q9NX55	O94905						
P51114	P22694	Q13283	Q14914						
P42704	Q07021	P30050	P50454						
P10599	P33992	P17858	Q9UHV9						
P62333	Q9P1F3	Q04760	P07305						
Q9Y2V2	P62263	Q9NS69	P43686						
P51153	Q13435	Q15149	P30626						
Q96PK6	P62837	Q8N0U8	P51149						
P30046	O76021	Q99439	P07437						
P46776	P68363	Q00688	Q9BRJ2						
P39687	Q12931	Q9NSD9	Q9UBI6						
O15143	O00151	O00487	P78417						
P26038	P62277	Q9Y320	P54136						
Q92598	P30084	P11387	P13804						
Q14978	P12236	Q9ULX3	O75531						
P15311	O60264	Q9BQG0	Q9NX55						
Q96EP5	P19971	P15121	Q13283						
P25685	P08579	P60842	P30050						
O14776	P62330	P53999	P17858						
P52565	P51114	P22694	Q04760						
P00558	P42704	Q07021	Q9NS69						
P62942	P61006	P33992	Q15149						
P53618	P62333	Q9P1F3	Q99439						
Q08J23	Q9Y2V2	P62263	Q00688						
P55327	P51153	Q13435	Q9NSD9						
Q9P287	P10599	P62837	O00487						
Q9UHX1	Q96PK6	Q15020	Q9Y320						
P84098	P30046	O76021	P11387						
P60174	P46776	P68363	Q9ULX3						
P26358	P39687	Q12931	Q9BQG0						
O00303	O15143	O00151	P15121						
Q14315	P26038	P62277	P60842						
P46013	Q92598	P30084	P53999						
Q9H6T3	Q14978	P12236	Q9NX40						
P06276	P15311	O60264	P22694						
P30740	Q96EP5	P19971	Q07021						
Q9NYU2	P25685	P08579	P33992						
P07195	O14776	P62330	Q9P1F3						
Q16891	P52565	P51114	P62263						
Q9NR45	P00558	P42704	Q13435						
P68371	P62942	P10599	P62837						
Q9Y5S9	P53618	P62333	O76021						
P82979	Q08J23	Q9Y2V2	P68363						
P07602	P55327	P51153	Q12931						
P35237	Q9P287	Q96PK6	O00151						
Q01518	Q9UHX1	P30046	P62277						
Q15370	P84098	P46776	P30084						
P30085	P60174	P39687	P12236						
Q99805	P26358	O15143	P62330						
P08195	O00303	P26038	O60264						
P15531	Q14315	Q92598	P19971						
Q14257	P46013	Q14978	Q96SB4						
P56545	Q9H6T3	P15311	P08579						
P15170	P06276	Q96EP5	P51114						
P23368	P30740	P25685	P42704						
P60900	Q9NYU2	O14776	P10599						
P47914	P07195	P52565	P62333						
Q8TCJ2	Q16891	P00558	Q9Y2V2						
Q13561	Q9NR45	P62942	P51153						
P00441	P68371	P53618	Q96PK6						
P19525	Q9Y5S9	Q08J23	P30046						
P34932	P82979	P55327	P46776						
Q9Y4W6	P07602	Q9P287	P39687						
Q9UMX0	P35237	Q9UHX1	O15143						
Q9UBT2	Q01518	P84098	P26038						
Q59GN2	Q15370	P60174	Q92598						
Q16576	P30085	P26358	Q14978						
Q15181	Q99805	O00303	P15311						
O96000	P08195	Q14315	Q96EP5						
Q2TAY7	P15531	P46013	P25685						
P55084	Q14257	Q9H6T3	O14776						
P04844	P56545	P06276	P52565						
Q96FQ6	P15170	P30740	P00558						
P09012	P23368	Q9NYU2	P62942						
P18621	P60900	P07195	P53618						
Q07020	Q3ZCQ8	Q16891	Q08J23						
P62805	P47914	Q9NR45	P55327						
P02792	Q8TCJ2	P68371	Q9P287						
P27708	Q13561	Q9Y5S9	Q9UHX1						
P22234	P00441	P82979	P84098						
P31930	P19525	P50570	P60174						
P46977	P34932	P07602	P26358						
Q15637	Q9Y4W6	P35237	O00303						
Q14444	Q9UMX0	Q01518	Q14315						
P17655	Q9UBT2	Q15370	P46013						
P61011	Q59GN2	P30085	Q9H6T3						
P08134	Q16576	Q99805	P06276						
P61353	Q15181	P08195	P30740						
P31153	O96000	P15531	Q9NYU2						
Q9UDY2	Q2TAY7	Q14257	P07195						
Q00325	P55084	P56545	Q16891						
P55010	P04844	P15170	Q00796						
O95372	Q96FQ6	P23368	P68371						
P11908	P09012	P60900	Q9Y5S9						
Q9Y230	P24539	P47914	P17812						
P61158	P18621	Q8TCJ2	Q9NR45						
E9PAV3	Q07020	Q13561	P82979						
P61160	P62805	P00403	P07602						
P32322	Q9Y678	P00441	P35237						
P16615	P02792	P19525	Q01518						
Q08211	P27708	P34932	Q15370						
P55786	P22234	Q9Y4W6	P30085						
P68366	P31930	Q8IVL1	Q99805						
O60749	P46977	Q9UMX0	P08195						
Q12905	Q15637	Q9UBT2	P15531						
P29373	Q14444	Q59GN2	Q14257						
P05141	P17655	Q16576	P56545						
Q8N543	P61011	Q15181	P15170						
Q9UHD8	P08134	O96000	P23368						
P61313	P61353	Q2TAY7	P60900						
P20042	P31153	P55084	P47914						
Q99584	Q9UDY2	P04844	Q8TCJ2						
Q9BWD1	Q00325	Q96FQ6	P30520						
Q9P035	P55010	P09012	Q13561						
Q15907	O95372	P18621	P00441						
Q9BYN0	P11908	Q07020	P41227						
P34896	Q9Y230	P62805	P19525						
Q06830	P61158	P02792	P34932						
P61106	E9PAV3	P27708	Q9Y4W6						
P47897	P61160	Q9NP72	Q9UMX0						
O75390	P32322	P22234	Q9UBT2						
Q9NVJ2	P16615	P31930	Q59GN2						
O60925	Q08211	P46977	Q16576						
P20618	P55786	P46459	Q15181						
P52594	P68366	Q15637	O96000						
P59998	O60749	Q14444	Q2TAY7						
P07339	Q12905	P17655	P55084						
Q8NF37	P29373	P61011	P04844						
Q92734	P05141	P08134	Q96FQ6						
P23526	Q8N543	P61353	P09012						
Q99798	Q9UHD8	P31153	P18621						
P36542	P61313	Q9UDY2	Q07020						
Q9NX58	P20042	Q00325	P62805						
Q16881	Q99584	P55010	P02792						
O43399	Q9BWD1	P49207	P27708						
Q01081	Q9P035	O95372	P22234						
Q9ULT8	Q15907	P11908	P31930						
Q92616	Q9BYN0	Q9Y230	P46977						
P55263	P34896	P61158	Q15637						
Q9Y262	Q06830	E9PAV3	Q14444						
Q14566	P61106	P61160	P17655						
O43148	P47897	P32322	P61011						
P61019	O75390	P16615	P08134						
P62910	P0DPA3	Q08211	P61353						
P39019	Q9NVJ2	P55786	P31153						
Q9BVA1	O60925	P68366	Q9UDY2						
O14828	P20618	O60749	Q00325						
P63279	P52594	Q12905	P55010						
Q13724	P59998	P29373	P49321						
Q9NR31	P07339	P05141	O95372						
P63313	Q8NF37	Q8N543	P11908						
Q92841	Q92734	Q9UHD8	Q96S55						
Q9Y617	Q9BVC6	P61313	Q9Y230						
O60701	Q99798	P20042	P61158						
P51991	P36542	Q99584	E9PAV3						
Q58FF8	Q9NX58	Q9BWD1	P61160						
P82650	Q16881	P50151	Q08257						
P78347	O43399	Q15907	A0MZ66						
Q13247	P23526	Q9P035	P32322						
P25398	Q01081	Q9BYN0	P16615						
Q15233	Q8WVY7	P34896	Q08211						
P56537	Q9ULT8	Q06830	P55786						
P49756	Q92616	P61106	P68366						
P04181	P55263	P47897	O60749						
P60983	Q9Y262	O75390	Q12905						
P63241	Q14566	Q16630	P29373						
P22314	O43148	P30533	P05141						
Q9NVP1	P61019	Q9NVJ2	Q8N543						
P33991	Q6EEV6	O60925	Q9UHD8						
P05387	P62910	P20618	P61313						
P41250	P39019	P52594	P20042						
P62701	Q9BVA1	P59998	Q99584						
O60869	O14828	P07339	Q9BWD1						
Q8WUW1	P63279	Q8NF37	Q9P035						
Q9BRA2	Q13724	Q92734	Q15907						
P23246	Q9NR31	P23526	Q9BYN0						
Q13155	Q96HS1	Q99798	P34896						
Q96C86	P63313	P36542	Q06830						
O00116	Q92841	Q9NX58	P61106						
P62753	Q9Y617	Q16881	P47897						
Q96E39	O60701	O43399	O75390						
Q9BR76	P51991	Q01081	Q8N752						
Q14258	Q58FF8	Q9ULT8	Q9NVJ2						
Q9H0A0	P82650	Q92616	O60925						
P35080	P78347	P55263	P20618						
Q01844	Q13247	Q9Y262	P52594						
O43324	P25398	Q14566	P59998						
P21291	Q15233	O43148	P07339						
Q14204	P56537	P61019	Q8NF37						
Q9BZZ5	P49756	P62910	Q92734						
P25786	P04181	P39019	P23526						
O95232	P60983	Q9BVA1	Q99798						
P62241	P63241	O14828	P36542						
Q07960	P22314	P63279	Q9NX58						
P11940	Q9NVP1	Q13724	Q16881						
P78344	P33991	Q9NR31	O43399						
P21964	P05387	P0C860	Q01081						
P30044	P41250	P63313	Q9ULT8						
O15372	P62701	Q92841	Q92616						
Q15366	O60869	P20340	P55263						
P78406	Q8WUW1	Q9Y617	Q9Y262						
O14980	Q9BRA2	O60701	Q14566						
P43304	P23246	P51991	O43148						
P09960	Q13155	Q58FF8	P61019						
O94925	Q96C86	P82650	P62910						
O96008	O00116	P78347	P39019						
P49748	P62753	Q13247	Q9BVA1						
P48643	Q96E39	Q9H2W6	O14828						
P00491	Q9BR76	O95399	P63279						
Q9H773	Q14258	P25398	Q13724						
P43246	Q9H0A0	Q15233	Q9NR31						
Q9UNH7	P35080	P56537	P63313						
P54105	Q01844	P49756	Q92841						
O14737	O43324	P04181	Q86U42						
P19105	P21291	P60983	Q9Y617						
P17987	Q14204	P63241	O60701						
Q9Y570	Q9BZZ5	P22314	P51991						
O76094	P25786	Q9Y696	Q58FF8						
Q96AG4	O95232	Q9NVP1	P82650						
P26196	P62241	P33991	P78347						
Q5TZA2	Q07960	P05387	Q13247						
P60981	P11940	P41250	P25398						
P31942	P78344	P62701	Q15233						
Q92688	P21964	O60869	P56537						
P09874	P30044	Q8WUW1	P49756						
Q9BSJ8	O15372	Q9BRA2	P04181						
P25705	Q15366	P23246	P60983						
P05388	P78406	Q13155	P63241						
P20962	O14980	Q96C86	P22314						
Q15019	P43304	O00116	Q9NVP1						
P00505	Q71DI3	P62753	P33991						
Q9UGI8	P09960	Q96E39	P05387						
P35580	O94925	Q9BR76	P41250						
P05198	O96008	Q14258	P62701						
P10620	P49748	Q9H0A0	O60869						
Q15393	P48643	P35080	Q8WUW1						
Q14108	P00491	Q01844	Q9BRA2						
Q6DD88	Q9H773	O43324	P23246						
Q5T6V5	P43246	P21291	Q13155						
Q71RC2	Q9UNH7	Q14204	Q96C86						
P40763	P54105	Q9BZZ5	O00116						
Q9UNX3	O14737	P25786	P62753						
P22090	P19105	O95232	Q5SRE5						
P06730	P17987	P62241	Q96E39						
O43175	Q9Y570	Q07960	Q9BR76						
Q9H4A4	O76094	P11940	Q14258						
P48735	Q96AG4	P78344	Q9H0A0						
Q14152	P26196	P21964	P35080						
P68133	Q5TZA2	P30044	Q01844						
Q99714	P60981	O15372	O43324						
P04083	P31942	Q15366	P21291						
O95373	Q92688	P78406	Q14204						
Q13185	P09874	O14980	P25786						
O15118	Q9BSJ8	P43304	Q9BZZ5						
P62841	P25705	P09960	O95232						
O00571	P05388	O94925	P62241						
P46940	P20962	O96008	Q07960						
Q07157	P46087	P49748	P11940						
P24666	Q15019	P48643	P78344						
P06733	P00505	P00491	Q12996						
P42766	Q9UGI8	Q9H773	P30044						
Q02543	P35580	P43246	P21964						
P06737	P05198	Q9UNH7	Q13427						
P42166	P10620	P54105	O15372						
P62316	Q15393	O14737	Q15366						
P32969	Q14108	P19105	O95831						
Q96C19	Q6DD88	P17987	P78406						
P68036	Q5T6V5	Q9Y570	O14980						
P12955	Q71RC2	O76094	P43304						
Q8NCW5	P40763	Q96AG4	P09960						
O75475	Q9UNX3	P26196	O94925						
Q9NRN7	P22090	Q5TZA2	O96008						
P04080	P06730	P60981	P49748						
Q9Y6B6	O43175	P31942	P48643						
P14324	Q9H4A4	Q92688	P00491						
P05556	P48735	P09874	Q9H773						
P30040	Q14152	Q9BSJ8	P43246						
P26373	P68133	P25705	Q9UNH7						
P49458	Q99714	P05388	P54105						
P49736	P04083	P20962	O14737						
P40227	O95373	Q15019	P19105						
P61604	Q13185	P00505	P17987						
Q92896	O15118	Q9UGI8	Q9Y570						
O14684	P62841	P60520	O76094						
P11166	O00571	P35580	Q96AG4						
P47755	P46940	P05198	P26196						
Q16181	Q07157	P10620	Q13547						
P35221	P24666	Q15393	Q5TZA2						
P68402	P06733	Q14108	P60981						
Q96DB5	P42766	Q6DD88	Q96KP4						
P61457	Q02543	Q5T6V5	P31942						
P62906	P06737	Q71RC2	Q92688						
P07108	P42166	P40763	P09874						
Q86VP6	P62316	Q9UNX3	Q9BSJ8						
P68104	P32969	P22090	P25705						
O43852	Q96C19	P06730	P05388						
O43809	P68036	O43175	P20962						
Q96G03	P12955	Q9H4A4	Q15019						
Q99460	Q8NCW5	P48735	P00505						
P52907	O75475	Q14152	Q9UGI8						
P52815	Q9NRN7	P68133	P35580						
P23396	P04080	P11388	P05198						
P05455	Q9Y6B6	Q99714	P10620						
P07355	P14324	Q9NPJ3	Q15393						
Q9C0C9	P05556	P04083	Q14108						
P55769	P30040	O95373	Q6DD88						
P62847	P26373	Q13185	Q5T6V5						
P26640	P49458	O15118	Q71RC2						
P31943	P49736	P62841	P40763						
P00533	P40227	O00571	Q9UNX3						
Q14974	P61604	P46940	P22090						
O75534	Q92896	Q07157	P06730						
P36776	O14684	P24666	O43175						
Q05639	P11166	P06733	Q9H4A4						
P11586	P47755	P42766	P48735						
Q99497	Q16181	Q02543	Q14152						
P40925	P35221	P06737	P68133						
P37802	P68402	P42166	Q99714						
P09936	Q96DB5	P62316	P04083						
Q9UN86	P61457	P32969	O95373						
P11413	P62906	Q96C19	Q13185						
P28066	P07108	P68036	O15118						
P62861	Q86VP6	P12955	P62841						
P05161	P68104	Q8NCW5	O00571						
Q15642	O43852	O75475	P46940						
Q02878	O43809	Q9NRN7	Q07157						
P38919	Q96G03	P04080	P24666						
Q08945	Q99460	Q9Y6B6	P06733						
O00231	P52907	P14324	P42766						
O75494	P52815	P05556	Q02543						
Q9NX63	P23396	P30040	P06737						
P04179	P05455	P26373	P42166						
P07900	P07355	P49458	P62316						
P05023	Q9C0C9	P49736	P32969						
P23921	P55769	P40227	Q96C19						
P14314	P62847	P61604	P68036						
P48507	P26640	Q92896	P12955						
Q9UNF1	P31943	O14684	Q8NCW5						
Q9UGT4	P00533	P11166	O75475						
P07910	Q14974	P47755	Q9NRN7						
P16401	O75534	Q16181	P04080						
Q8IYT4	P36776	P35221	Q9Y6B6						
P62256	Q05639	P68402	P14324						
Q8WXF1	P11586	Q96DB5	P05556						
O95881	Q99497	P61457	P30040						
Q99880	P40925	P62906	P26373						
Q9NZ01	P37802	P07108	P49458						
P40926	P09936	Q86VP6	P49736						
P55209	Q9UN86	P68104	P40227						
Q7Z2W4	P11413	O43852	P61604						
Q99873	P28066	O43809	Q92896						
P27695	P62861	Q96G03	O14684						
Q9Y3I0	P05161	Q99460	P11166						
Q9NUQ9	Q15642	P52907	P47755						
P55060	Q02878	P52815	O75533						
P40261	P38919	P23396	Q16181						
P50995	Q08945	P05455	P35221						
Q14240	O00231	P07355	Q96DB5						
P21912	O75494	Q9C0C9	P68402						
P60510	Q9NX63	P55769	P61457						
Q92900	P04179	P62847	P62906						
Q14103	P07900	P26640	P07108						
Q9H0S4	P05023	P31943	Q86VP6						
Q9Y6E2	P23921	P00533	P68104						
P52292	P14314	Q14974	O43852						
P09382	P48507	O75534	O43809						
P51659	Q9UNF1	P36776	Q96G03						
P32119	Q9UGT4	Q05639	Q99460						
P26368	P07910	P11586	P52907						
O43760	P16401	Q99497	P52815						
Q969V3	Q8IYT4	P40925	O95319						
P20674	P62256	P61769	P23396						
P53004	Q8WXF1	P37802	P05455						
O14979	O95881	P09936	P07355						
Q12904	Q99880	Q9UN86	Q9C0C9						
Q9H9P8	Q9NZ01	P11413	P55769						
P20290	Q9Y3C8	P28066	P62847						
P35241	P40926	P62861	P26640						
P48444	P55209	P05161	P31943						
Q02978	Q7Z2W4	Q15642	P00533						
O00764	Q99873	Q02878	Q14974						
O75844	P27695	P38919	O75534						
P27824	Q9Y3I0	Q08945	P36776						
Q14116	Q9NUQ9	O00231	Q05639						
Q99733	P55060	O75494	P11586						
P39656	Q7LG56	Q9NX63	Q99497						
P54577	P40261	P04179	P40925						
Q9NQG5	P50995	P07900	P37802						
P07099	Q14240	P05023	P60891						
P20700	P21912	P23921	P09936						
P48047	P60510	P14314	Q9UN86						
Q5SSJ5	Q92900	P48507	P11413						
Q9NRP0	Q14103	Q9UNF1	P28066						
P84103	Q9H0S4	Q9UGT4	P62861						
Q6GMV3	Q9Y6E2	P07910	O60762						
P31948	Q96T88	P16401	Q15642						
P35637	P52292	Q8IYT4	P05161						
P18669	P09382	P62256	Q02878						
P52788	P51659	Q8WXF1	P38919						
P18031	P32119	O95881	Q08945						
	P26368	Q99880	O00231						
	O43760	Q9NZ01	O75494						
	Q969V3	P40926	Q9NX63						
	P20674	P55209	P04179						
	P53004	Q7Z2W4	P07900						
	O14979	Q99873	P05023						
	Q12904	P27695	P23921						
	Q9H9P8	Q9Y3I0	P14314						
	P20290	Q9NUQ9	P48507						
	P35241	P55060	Q9UNF1						
	P48444	P40261	Q9UGT4						
	O43837	P50995	P07910						
	O00764	Q14240	P16401						
	Q02978	P21912	Q8IYT4						
	O75844	P60510	P62256						
	P27824	Q92900	Q8WXF1						
	Q14116	Q14103	O95881						
	Q99733	Q9H0S4	Q99880						
	P39656	Q9Y6E2	Q9NZ01						
	P54577	P52292	P40926						
	Q9NQG5	P09382	P55209						
	P07099	P51659	Q7Z2W4						
	P20700	P32119	Q99873						
	P48047	P26368	P27695						
	Q9UNP9	O43760	Q9Y3I0						
	Q5SSJ5	Q969V3	Q9NUQ9						
	Q9NRP0	P20674	P55060						
	P84103	P53004	P40261						
	Q6GMV3	O14979	P50995						
	P31948	Q12904	Q14240						
	P35637	Q9H9P8	P53675						
	P18669	P20290	P21912						
	P52788	P35241	P60510						
	P18031	P48444	Q92900						
		Q02978	Q14103						
		O00764	Q9H0S4						
		O75844	Q9Y6E2						
		P27824	P52292						
		Q14116	P09382						
		Q99733	P51659						
		P39656	P32119						
		P54577	P26368						
		Q9NQG5	O43760						
		P07099	Q969V3						
		P20700	P20674						
		P48047	P53004						
		Q5SSJ5	O14979						
		Q9NRP0	Q12904						
		P84103	Q9H9P8						
		Q6GMV3	P20290						
		P31948	P35241						
		P35637	P48444						
		P18669	Q02978						
		P52788	O00764						
		P18031	O75844						
			P27824						
			Q14116						
			Q99733						
			P39656						
			P54577						
			Q9NQG5						
			P07099						
			P20700						
			P48047						
			Q9BQ52						
			Q5SSJ5						
			Q9NRP0						
			P84103						
			Q6GMV3						
			P31948						
			P35637						
			P18669						
			P52788						
			P18031						
