1AND2	(1-2)
Q96FW1	
P62851	
P30046	
P62310	
P12236	
O00232	
Q5T6V5	
Q3ZCQ8	
Q9NS69	
Q9UNM6	
Q14258	
Q92688	
O95757	
P35579	
P62847	
O43615	
P10809	
P52788	
Q9NPA0	
P16403	
P06576	
O95777	
P55084	
P43307	
Q14315	
Q09028	
P18031	
Q16658	
Q16629	
Q03135	
Q8WVY7	
Q9H910	
P06733	
Q8WVM8	
P39019	
Q9NQG5	
P53992	
P37802	
P04179	
Q13347	
Q99805	
P43686	
P56545	
P68036	
P22234	
P00491	
Q6GMV3	
Q9BR76	
O43324	
P62249	
Q8IZP2	
Q9P287	
Q99714	
P23246	
P11021	
P40227	
P61160	
P60866	
Q8NBQ5	
P62314	
Q96HC4	
O75475	
P51659	
P11413	
Q12765	
P07900	
P60842	
Q9GZT3	
O75822	
Q9UHV9	
P46777	
P53396	
P68363	
P55209	
P60709	
P17096	
P28066	
P62917	
O60925	
P49368	
P55072	
P20674	
P52292	
Q9Y3E1	
P49773	
P09622	
P35998	
P22626	
Q9NUQ9	
P50395	
P43243	
P0DPA3	
P62263	
P00387	
P25786	
P07910	
P83731	
P40926	
P16615	
P14550	
P13797	
P40763	
O00203	
P62820	
Q13509	
P09661	
O94905	
Q9Y2B0	
Q9Y265	
Q9HB71	
Q96IU4	
P62330	
Q9UMS0	
Q9Y490	
P12277	
P58546	
O75694	
P61513	
P82979	
O75534	
P54687	
Q9NX58	
Q02818	
Q13243	
P61970	
Q13155	
P30086	
P26599	
Q9NRH3	
P05388	
O43396	
P13693	
Q99832	
Q9UNH7	
P84090	
P61978	
Q9UBQ7	
P31947	
Q01813	
P05783	
P30049	
P27348	
Q5TZA2	
O94973	
P00338	
Q9BUJ2	
P63279	
P36915	
P46783	
Q06587	
Q9HAV7	
P48047	
P48643	
O15144	
G2XKQ0	
P24666	
Q9H4A4	
P21926	
Q13907	
P47755	
P61604	
Q2TAY7	
Q9BPX5	
P55145	
P42285	
Q92598	
P31040	
Q9P035	
Q9UNP9	
Q9UGT4	
O75390	
P62873	
Q969H8	
Q13045	
P61981	
P62861	
O43852	
P49591	
Q06323	
Q96C86	
O15427	
P62140	
P30040	
Q9Y6B6	
Q03169	
O60888	
P11387	
P51858	
Q8N766	
Q5H9R7	
P53004	
Q92974	
Q16181	
P55265	
P62241	
Q9H0A0	
P14625	
Q8TDN6	
P24539	
Q9UMS4	
P32119	
Q14204	
P13995	
P48735	
O15118	
Q96IX5	
O43399	
Q9C002	
P23921	
P55263	
P53621	
P61020	
P62937	
P07099	
Q15084	
P60981	
P25398	
Q9Y3I0	
Q9Y2V2	
P33176	
P61106	
Q9Y6E2	
O00571	
Q9ULT8	
O95292	
Q14697	
P21912	
P41252	
P07108	
P30101	
P30041	
Q96AG4	
Q6EEV6	
P04350	
O60749	
P48556	
P61224	
P78406	
Q96E39	
P30048	
Q14019	
P63261	
O75352	
Q86TU7	
Q9Y678	
Q08945	
Q9UBQ5	
P55884	
P14314	
P22102	
P49756	
Q04837	
O00533	
P17980	
P63244	
Q49AR2	
